NAME;LONGNAME;HD_ICD_10;CAT
CD2_BENIGN_CRANIAL_NERVE;Benign neoplasm: Cranial nerves;D333;D
CD2_BENIGN_DESCENDING_COLON;Benign neoplasm: Descending colon;D124;D
CD2_BENIGN_DIGESTIVE_NOS;Benign neoplasm: Ill-defined sites within the digestive system;D139;D
CD2_BENIGN_DUODENUM;Benign neoplasm: Duodenum;D132;D
CD2_BENIGN_EAR_NASAL_SINUS;Benign neoplasm: Middle ear, nasal cavity and accessory sinuses;D140;D
CD2_BENIGN_EAR_RESP;Benign neoplasm of middle ear and respiratory system;D14;D
CD2_BENIGN_ENDOCRINE_NOS;Benign neoplasm: Endocrine gland, other/unspecified;D35[7|9];D
CD2_BENIGN_ENDOCRINE_OTH;Benign neoplasm of other and unspecified endocrine glands;D35;D
CD2_BENIGN_ENDOCRINE_PANCREAS;Benign neoplasm: Endocrine pancreas;D137;D
CD2_BENIGN_EPIDIDYMIS;Benign neoplasm: Epididymis;D293;D
CD2_BENIGN_EXTRAHEPATIC_BILE;Benign neoplasm: Extrahepatic bile ducts;D135;D
CD2_BENIGN_EYE;Benign neoplasm of eye and adnexa;D31;D
CD2_BENIGN_FEMALE_GEN_NOS;Benign neoplasm: Female genital organ, unspecified;D289;D
CD2_BENIGN_FEMALE_GEN_OTH;Benign neoplasm of other and unspecified female genital organs;D28;D
CD2_BENIGN_FLOOROFMOUTH;Benign neoplasm: Floor of mouth;D102;D
CD2_BENIGN_HEAMANGIOMA_LYMPHANGIOMA;Haemangioma and lymphangioma, any site;D18;D
CD2_BENIGN_HEART;Benign neoplasm: Heart;D151;D
CD2_BENIGN_HEMANGIOMA;Haemangioma, any site;D180;D
CD2_BENIGN_HYPOPHARYNX;Benign neoplasm: Hypopharynx;D107;D
CD2_BENIGN_INTRATHORACIC;Benign neoplasm of other and unspecified intrathoracic organs;D15;D
CD2_BENIGN_INTRATHORACIC_NOS;Benign neoplasm: Other specified/unspecified intrathoracic organs (+ respiratory system NOS of Icd-9);D15[7|9];D
CD2_BENIGN_KIDNEY;Benign neoplasm: Kidney;D300;D
CD2_BENIGN_LARYNX;Benign neoplasm: Larynx;D141;D
CD2_BENIGN_LEIOMYOMA_UTERI;Leiomyoma of uterus;D25;D
CD2_BENIGN_LIP;Benign neoplasm: Lip;D100;D
CD2_BENIGN_LIPO_INTRATHO;Benign lipomatous neoplasm of  of intra-abdominal organs;D175;D
CD2_BENIGN_LIPO_NOS;Benign lipomatous neoplasm of other sites/unspecified;D17[7-9];D
CD2_BENIGN_LIPO_SKIN_HEADFACENECK;Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck;D170;D
CD2_BENIGN_LIPO_SKIN_LIMBS;Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs;D172;D
CD2_BENIGN_LIPO_SKIN_NOS;Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites;D173;D
CD2_BENIGN_LIPO_SKIN_TRUNK;Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk;D171;D
CD2_BENIGN_LIPOMATOUS;Benign lipomatous neoplasm;D17;D
CD2_BENIGN_LIVE_BILE;Benign neoplasm: Liver/bile ducts;;
CD2_BENIGN_LIVER;Benign neoplasm: Liver;D134;D
CD2_BENIGN_LYMPHANGIOMA;Lymphangioma, anys site;D181;D
CD2_BENIGN_LYMPHNODES;Benign neoplasm: Lymph nodes;D360;D
CD2_BENIGN_MALE_GEN;Benign neoplasm of male genital organs;D29;D
CD2_BENIGN_MEDIASTINUM;Benign neoplasm: Mediastinum;D152;D
CD2_BENIGN_MELANOCYTIC;Melanocytic naevi;D22;D
CD2_BENIGN_MELANOCYTIC_EAR;Melanocytic naevi of ear and external auricular canal;D222;D
CD2_BENIGN_MELANOCYTIC_EYELID;Melanocytic naevi of eyelid, including canthus;D221;D
CD2_BENIGN_MELANOCYTIC_FACE;Melanocytic naevi of other and unspecified parts of face;D223;D
CD2_BENIGN_MELANOCYTIC_LIP;Melanocytic naevi of lip;D220;D
CD2_BENIGN_MELANOCYTIC_LOWERLIMB;Melanocytic naevi of lower limb, including hip;D227;D
CD2_BENIGN_MELANOCYTIC_NOS;Melanocytic naevi, other sites/unspecified;D229;D
CD2_BENIGN_MELANOCYTIC_SCALPNECK;Melanocytic naevi of scalp and neck;D224;D
CD2_BENIGN_MELANOCYTIC_TRUNK;Melanocytic naevi of trunk;D225;D
CD2_BENIGN_MELANOCYTIC_UPPERLIMB;Melanocytic naevi of upper limb, including shoulder;D226;D
CD2_BENIGN_MENINGES;Benign neoplasm of meninges;D32;D
CD2_BENIGN_MENINGES_CEREBRAL;Benign neoplasm: Cerebral meninges;D320;D
CD2_BENIGN_MENINGES_NOS;Beningn neoplasm: Meninges, unspecified;D329;D
CD2_BENIGN_MENINGES_SPINAL;Benign neoplasm: Spinal meninges;D321;D
CD2_BENIGN_MOUTH_NOS;Benign neoplasm: Other and unspecified parts of mouth;D103;D
CD2_BENIGN_MOUTH_PHARYNX;Benign neoplasm of mouth and pharynx;D10;D
CD2_BENIGN_NASOPHARYNX;Benign neoplasm: Nasopharynx;D106;D
CD2_BENIGN_NOS;Benign neoplasm: Other/unspecified site;D36[7|9];D
CD2_BENIGN_OESOPHAGUS;Benign neoplasm: Oesophagus;D130;D
CD2_BENIGN_ORBIT_NOS;Benign neoplasm: Orbit, unspecified;D316;D
CD2_BENIGN_OROPHA_OTHER;Benign neoplasm: Other parts of oropharynx;D105;D
CD2_BENIGN_OTHER_NOS;Benign neoplasm of other and unspecified sites;D36;D
CD2_BENIGN_OTHERDIGESTIVE;Benign neoplasm of other and ill-defined parts of digestive system;D13;D
CD2_BENIGN_OVARY;Benign neoplasm of ovary;D27;D
CD2_BENIGN_PANCREAS;Benign neoplasm: Pancreas;D136;D
CD2_BENIGN_PARATHYROID;Benign neoplasm: Parathyroid gland;D351;D
CD2_BENIGN_PAROTID;Benign neoplasm: Parotid gland;D110;D
CD2_BENIGN_PELVIC_BONES_SACRUM_COCCYX;Benign neoplasm: Pelvic bones, sacrum and coccyx;D168;D
CD2_BENIGN_PENIS;Benign neoplasm: Penis;D290;D
CD2_BENIGN_PERIPH_AUTO_NEURO;Benign neoplasm: Peripheral nerves and autonomic nervous system;D361;D
CD2_BENIGN_PHARYNX_NOS;Benign neoplasm: Pharynx, unspecified;D109;D
CD2_BENIGN_PINEAL;Benign neoplasm: Pineal gland;D354;D
CD2_BENIGN_PITUITARY_CRANIPHAR;Benign neoplasm: Pituitary gland, craniopharyngeal duct;D35[2-3];D
CD2_BENIGN_PROSTATE;Benign neoplasm: Prostate;D291;D
CD2_BENIGN_RECTOSIGMOID_JUNC;Benign neoplasm: Rectosigmoid junction;D127;D
CD2_BENIGN_RECTUM;Benign neoplasm: Rectum;D128;D
CD2_BENIGN_RECTUM_ANAL;Benign neoplasm: Rectum, anus and anal canal;;
CD2_BENIGN_RENALPELVIS;Benign neoplasm: Renal pelvis;D301;D
CD2_BENIGN_RESPIRATORY_NOS;Benign neoplasm: Respiratory system, unspecified;D144;D
CD2_BENIGN_RETINA;Benign neoplasm: Retina;D312;D
CD2_BENIGN_RETROPERITONEUM_PERITONEUM;Benign neoplasm of soft tissue of retroperitoneum and peritoneum;D20;D
CD2_BENIGN_RIBS_STERNUM_CLAVICLE;Benign neoplasm: Ribs, sternum and clavicle;D167;D
CD2_BENIGN_SALIVARY;Benign neoplasm of major salivary glands;D11;D
CD2_BENIGN_SALIVARY_KNOWN;Benign neoplasm: salivary glands, exclude unknown (D119);D110|D117;D
CD2_BENIGN_SALIVARY_NOS;Benign neoplasm: other/unspecified salivary gland;D11[7|9];D
CD2_BENIGN_SCROTUM;Benign neoplasm: Scrotum;D294;D
CD2_BENIGN_SIGMOID_COLON;Benign neoplasm: Sigmoid colon;D125;D
CD2_BENIGN_SKIN;Other benign neoplasms of skin;D23;D
CD2_BENIGN_SMALL_INTESTINE;Benign neoplasm: Small intestine;;
CD2_BENIGN_SMALL_INTESTINE_OTH;Benign neoplasm: Other and unspecified parts of small intestine;D133;D
CD2_BENIGN_SPINAL_CORD;Benign neoplasm: Spinal cord;D334;D
CD2_BENIGN_STOMACH;Benign neoplasm: Stomach;D131;D
CD2_BENIGN_TESTIS;Benign neoplasm: Testis;D292;D
CD2_BENIGN_THYMUS;Benign neoplasm: Thymus;D150;D
CD2_BENIGN_THYROID;Benign neoplasm of thyroid gland;D34;D
CD2_BENIGN_TONGUE;Benign neoplasm: Tongue;D101;D
CD2_BENIGN_TONSIL;Benign neoplasm: Tonsil;D104;D
CD2_BENIGN_TRANSVERSE_COLON;Benign neoplasm: Transverse colon;D123;D
CD2_BENIGN_URINARY;Benign neoplasm of urinary organs;D30;D
CD2_BENIGN_URINARY_NOS;Benign neoplasm: Urinary organ, other/unspecified;D30[7|9];D
CD2_BENIGN_UTERINE_TUBES_LIGAMENTS;Benign neoplasm: Uterine tubes and ligaments;D287;D
CD2_BENIGN_UTERUS_NOS;Other benign neoplasm of uterus: Other parts/unspecified;D26[7|9];D
CD2_BENIGN_UTERUS_OTH;Other benign neoplasms of uterus;D26;D
CD2_BENIGN_VAGINA;Benign neoplasm: Vulva;D280;D
CD2_BENIGN_VULVA;Benign neoplasm: Vagina;D281;D
CHARCOT;Charcot foot;M146&A521|M146&E106|M146&E116;M
CHILDHOOD_ALLERGY;Childhood allergy (age < 16);J450|L20|J30[1-4]|L236|J3019;J
CHIRBIL_NAS;Biliary cirrhosis, NAS;K745;K
CHIRBIL_PRIM;Primary biliary cholangitis (PBC);K743;K
CHIRHEP_NAS;Cirrhosis of liver, NAS;K746;K
CHONDRO_OTH;Other chondrocalcinosis;M112;M
CHRONHEP_NAS;Chronic hepatitis NAS;K7389|K739;K
CHRONIC_DRUGADVERS_INTERSTITIAL_LUNG_DISORD;Chronic drug-induced interstitial lung disorders;J703;J
CHRONLARGE;Crohn's disease of large intestine;K501;K
CHRONMYELOPRO;Chronic myeloproliferative disease;D471;D
CHRONNAS;Crohn's disease NAS;K509;K
CHRONOTH;Other Crohn's disease;K508;K
CHRONSMALL;Crohn's disease of small intestine;K500;K
CHRYSTAL_NOS;Other/unspecified crystal arthropathies;M11[8-9];M
CIRRHOSIS_BROAD;Cirrhosis, broad definition used in the article https://doi.org/10.1101/594523;;
CML;Chronic myeloid leukaemia [CML], BCR/ABL-positive;C921;C
CMV_HEPATITIS;Cytomegaloviral hepatitis;B251;B
CMV_NOS;Other/unspecified cytomegaloviral diseases;B25[8-9];B
CMV_PNEUMONIA;Cytomegaloviral pneumonitis;B250;B
COLONPSEUDOP;Pseudopolyposis of colon;K514;K
CONGEN_HEART_ARTER;Congenital malformations of heart and great arteries;Q2[0-5];Q
COPD_EARLY;Early onset COPD;J44;J
COPD_INSUFFICIENCY;COPD-related respiratory insufficiency;;
COPD_LATER;Later onset COPD;J44;J
COPD_OPPORTUNIST_INFECTIONS;COPD related to chronic (opportunist) infections;;
CPAP;Continuous positive airway pressure;;
CREST;CR(E)ST syndrome;M341;M
CROHN_ARTHR;Arthropathy in Crohn disease;M074;M
D3_ACQCOAFACDEF;Acquired coagulation factor deficiency;D684;D
D3_ACQHAEMOLYTICANAEMIA;Acquired haemolytic anaemia;D59;D
D3_ACQHAEMOLYTICANAEMIANAS;Other and unspecified acquired haemolytic anaemias;D59[8-9];D
D3_ACQPUREREDCLLAPLASIA;Acquired pure red cell aplasia [erythroblastopenia];D60;D
D3_ACUTEPOSTBLEEDANAEMIA;Acute posthaemorrhagic anaemia;D62;D
D3_AGRANULOCYTOSIS;Agranulocytosis;D70;D
D3_AIHA_OTHER;Other autoimmune haemolytic anaemias;D591;D
D3_ALLERGPURPURA;Allergic purpura;D690;D
D3_ANAEMIA;Anaemias;;
D3_ANAEMIA_B12_DEF;Vitamin B12 deficiency anaemia;D51;D
D3_ANAEMIA_FOLATEDEF;Folate deficiency anaemia;D52;D
D3_ANAEMIA_IRONDEF;Iron deficiency anaemia;;
D3_ANAEMIA_IRONDEF_BLOODLOSS;Iron deficiency anaemia secondary to blood loss (chronic);D500;D
D3_ANAEMIA_IRONDEF_NAS;Other and unspecified iron deficiency;D50;D
D3_ANAEMIAINCHRONICDISEASE;Anaemia in chronic diseases classified elsewhere;D63;D
D3_ANAEMIANAS;Other and unspecified anaemias;D64[8-9];D
D3_BLOODNAS;Other and unspecified diseases of blood and blood-forming organs;D75[8-9];D
D3_BLOODOTHER;Other diseases of blood and blood-forming organs, wide;;
D3_COAGDEF;Chronic Coagulation defects;;
D3_COAGDEF_PURPUR_HAEMORRHAGIC;Coagulation defects, purpura and other haemorrhagic conditions;;
D3_COAGDEFNAS;Other and unspecified coagulation defects;D68[8-9];D
D3_COAGOTHER;Other coagulation defects;D68;D
D3_COMBIMMUDEF;Combined immunodeficiencies;D81;D
D3_COMPLEMENTDEF;Defects in the complement system;D841;D
D3_CRYOGLOBU;Cryoglobulinemia;D891;D
D3_CVID;Common variable immunodeficiency;D83;D
D3_CVID_BCELL;Common variable immunodeficiency with predominant abnormalities of B-cell numbers and function;D830;D
D3_CVIDNAS;Other or unspecified common variable immunodeficiency;D83[8-9];D
D3_CYSTSPLEEN;Cyst of spleen;D734;D
D3_DEF_IGG;Selective deficiency of immunoglobulin G [IgG] subclasses;D803;D
D3_DEF_IIGA;Selective deficiency of immunoglobulin A [IgA]y;D802;D
D3_DISSEINTRAVASCCOAG;Disseminated intravascular coagulation [defibrination syndrome];D65;D
D3_FAMIERYTHROCYTOCIS;Familial erythrocytosis;D750;D
D3_HAEMOLYTICANAEMIA;Haemolytic anaemias;;
D3_HAEMORRHAGCIRGUANTICO;Haemorrhagic disorder due to circulating anticoagulants;D683;D
D3_HAEMORRHAGICNAS;Other and unspecified haemorrhagic conditions;D699;D
D3_HEREDFVIIIDEF;Hereditary factor VIII deficiency;D66;D
D3_HEREDHAEMOLYTICANAEMIAOTHER;Other hereditary haemolytic anaemias;D58;D
D3_HEREDHYPOGAMMA;Hereditary hypogammaglobulinemia;D800;D
D3_HEREDOTHCLOFACTORS;Hereditary deficiency of other clotting factors;D682;D
D3_HERESPHERO;Hereditary spherocytosis;D580;D
D3_HYPERSPLENISM;Hypersplenism;D731;D
D3_IMMUDEF;Immunodeficiencies;;
D3_IMMUDEFANTIBODY;Immunodeficiency with predominantly antibody defects;D80;D
D3_IMMUDEFANTIBODYNAS;Other and unspecified immunodeficiencies with predominantly antibody defects;D80[8-9];D
D3_IMMUDEFNAS;Other or unspecified immunodeficiency;D84[8-9];D
D3_IMMUDEFOTHER;Other immunodeficiencies;D84;D
D3_IMMUDEFWITHMAJORDEF;Immunodeficiency associated with other major defects;D82;D
D3_IMMUNEMECHANISM;Certain disorders involving the immune mechanism;;
D3_INFARCTSPLEEN;Infarction of spleen;D735;D
D3_ITP;Idiopathic thrombocytopenic purpura;D693;D
D3_KELA_IMMUDEF;Kela reimbursement Agammaglobulinemia (D80-84);;
D3_NEFELOF;Nezelof syndrome;D814;D
D3_NOCT_HAEMOGLOBINURIA;Other nonautoimmune haemolytic anaemias;D594;D
D3_NONAIHA_OTHER;Haemolytic-uraemic syndrome;D593;D
D3_NONHEREDHYPOGAMMA;Nonhereditary hypogammaglobulinemia;D801;D
D3_NUTRIANAEMIAOTHER;Other nutritional anaemias;D53;D
D3_OTHDISLYMPHORETANDRETICULOHIST;Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue;D76;D
D3_OTHERAPLASTICANAEMIA;Other and unspecified aplastic anaemias;D61;D
D3_OTHERBLOOD;Other diseases of blood and blood-forming organs;D75;D
D3_OTHERWHITECELL;Other disorders of white blood cells;D72;D
D3_OTHHAEMOGLOPAT;Other haemoglobinopathies;D582;D
D3_OTHNONTHROMBOCYTOPENPURPURA;Other nonthrombocytopenic purpura;D692;D
D3_OTHPRIMTHROMBOCYTOPENIA;Other primary thrombocytopenia;D694;D
D3_PURPURA_AND3_OTHER_HAEMORRHAGIC;Purpura and other haemorrhagic conditions;D69;D
D3_QUALIPATELETDEF;Qualitative platelet defects;D691;D
D3_SARCOIDOSIS;Sarcoidosis;D86;D
D3_SCIDA;Severe combined immunodeficiency [SCID] with reticular dysgenesis;D810;D
D3_SCNDPOLYCYTHAEMIA;Secondary polycythaemia;D751;D
D3_SCNDTHROMBOCYTOPENIA;Secondary thrombocytopenia;D695;D
D3_SICKLECELLDIS;Sickle-cell disorders;D57;D
D3_SIDEROANAEMIAHERED;Hereditary sideroblastic anaemia;D640;D
D3_SIDEROANAMIEAOTHER;Other sideroblastic anaemias;D643;D
D3_SIDEROANASCND;Secondary sideroblastic anaemia;D64[1-2];D
D3_SPLEENDISEASE;Diseases of spleen;D73;D
D3_SPLEENNAS;Other and unspecified diseases of spleen;D73[8-9];D
D3_THALASSAEMIA;Thalassaemia;D56;D
D3_THROMBOCYTOPENIANAS;Thrombocytopenia, unspecified;D696;D
D3_VONVILLEBRAND;Von Willebrand disease;D680;D
D3_WHITEBLOODCELLNAS;Other and unspecified disorders of white blood cells;D72[8-9];D
DENTAL_TMD;TMD related pain;K076[0|3];K
DENTAL_TMD_FIBRO;TMD muscular pain linked with fibromyalgia;K0760;K
DERMATOPOLY_FG;Dermatopolymyositis (FG);;
DM_NEOVASCULAR_GLAUCOMA;Neovascular glaucoma;H405;H
DM_NEPHROPATHY;Diabetic nephropathy;N083;N
DM_NEUROPATHY;Diabetic neuropathy;E1[0-4]4;E
DM_RETINOPATHY;Diabetic retinopathy;;
DM_RETINOPATHY_STRICT;Diabetic retinopathy, strict definition;H3600|H3602|H3603;H
DRUGADVERS_ACUTE_PANCREATIT;Drug-induced acute pancreatitis;K853;K
DRUGADVERS_ADRENOCORTICAL_INSUFFICIENCY;Drug-induced adrenocortical insufficiency;E273;E
DRUGADVERS_CATAR;Drug-induced cataract;H263;H
DRUGADVERS_DYSTON;Drug-induced dystonia;G240;G
DRUGADVERS_GOUT;Drug-induced gout;M102;M
DRUGADVERS_HEADA_NOT_ELSEW_CLASSIFIED;Drug-induced headache, not elsewhere classified;G444;G
DRUGADVERS_INTERSTITIAL_LUNG_DISORD_UNSPE;Drug-induced interstitial lung disorders, unspecified;J704;J
DRUGADVERS_NEUTROPENIA;Drug-induced neutropenia;D7082;D
DRUGADVERS_OSTEOPO;Drug-induced osteoporosis;M814;M
DRUGADVERS_SYSTEMIC_LUPUS_ERYTHEMAT;Drug-induced systemic lupus erythematosus;M320;M
DRUGADVERS_TREMOR;Drug-induced tremor;G251;G
DRY_AMD;Dry age-related macular degeneration (includes geographic atrophy);H3530;H
DUODENAL_ULCER_ACUTE_W_HAEMORRHAGE;Duodenal ulcer - Acute with haemorrhage, drug-induced;K260;K
DUODENAL_ULCER_UNSPE_ACUTE_CHRONIC_WO_HAEMORRHAGE_PERFORATION;Duodenal ulcer - Unspecified as acute or chronic, without haemorrhage or perforation, drug-induced;K269;K
E4_ACIDOSIS;Acidosis;E872;E
E4_ACROMEG;Acromegaly and pituitary gigantism;E220;E
E4_ADDISON;Adrenocortical insufficiency;E27[1-4];E
E4_ADREACT;Other adrenocortical overactivity;E270;E
E4_ADREMEDHYPER;Adrenomedullary hyperfunction;E275;E
E4_ADRENAS;Disorders of adrenal gland, other and/or unspecified;E27[8-9];E
E4_ADRENOGEN;Adrenogenital disorders;E25;E
E4_ALKALOSIS;Alkalosis;E873;E
E4_AMINO;Other disorders of amino-acid metabolism;E72;E
E4_AMINOTRANSPORT;Disorders of amino-acid transport;E720;E
E4_AMYL_ORGAN;Organ-limited amyloidosis;E854;E
E4_AMYL_SCNDSYST;Secondary systemic amyloidosis;E853;E
E4_AMYLNAS;Amyloidosis, other/unspecified;E85[8-9];E
E4_ANTIDIU;Syndrome of inappropriate secretion of antidiuretic hormone;E222;E
E4_AROMAMINO;Disorders of aromatic amino-acid metabolism;E70;E
E4_AUTOPOLYFAI;Autoimmune polyglandular failure;E310;E
E4_CARBO;Other disorders of carbohydrate metabolism;;
E4_CARBONAS;Disorder of carbohydrate metabolism, other/unspecified;E74[8-9];E
E4_CARCISDR;Carcinoid syndrome;E340;E
E4_CONGEIOD;Congenital iodine-deficiency syndrome/hypothyroidism;E00|E03[0-1];E
E4_CUSHING;Cushing syndrome;E24;E
E4_CYSTFIBRO;Cystic fibrosis;E84;E
E4_CYSTFIBRO_INT;Cystic fibrosis with intestinal manifestations;E841;E
E4_CYSTFIBRO_NAS;Cystic fibrosis, other manifestations/unspecified;E84[8-9];E
E4_DELPUB;Delayed puberty;E300;E
E4_DIABINSIPIDUS;Diabetes insipidus;E232;E
E4_DISPUB;Disorders of puberty;E30;E
E4_DYSPOLYGL;Polyglandular dysfunction;E31;E
E4_ENDINOTH;Disorders of endocrine glands in diseases classified elsewhere;E35;E
E4_ENDODIS;Other endocrine disorders;E3[4-5];E
E4_ENDODISNAS;Endocrine disorders, other/unspecified;E34[8-9];E
E4_ENDOGLAND;Disorders of other endocrine glands;E[2-3];E
E4_ENDOMETPOSTOP;Postprocedural endocrine and metabolic disorders, not elsewhere classified;E89;E
E4_FABRY_KIDNEY;Kidney diseases associated to Fabry's disease;E752;E
E4_FE_DEF;Iron deficiency;E611;E
E4_FH;Familial hypercholesterolemia;E7800;E
E4_FH_IHD;Familial hypercholesterolemia, with ischemic heart disease;;
E4_FLUIDELECTRO;Other disorders of fluid, electrolyte and acid-base balance;E87;E
E4_FLUIDELECTRONAS;Other disorders of electrolyte and fluid balance, not elsewhere classified;E878;E
E4_FLUIDOVER;Fluid overload;E877;E
E4_GILBERT;Gilbert syndrome;E804;E
E4_GLUCOPANCREAS;Other disorders of glucose regulation and pancreatic internal secretion;E1[5-6];E
E4_GOITREDIFF;Nontoxic diffuse goitre;E040;E
E4_GOITREMULTINOD;Nontoxic multinodular goitre;E042;E
E4_GOITRENAS;Other and/or unspecified nontoxic goitre;E04[8-9];E
E4_GOITRENOD;Nontoxic single thyroid nodule;E041;E
E4_GRAVES_OPHT_STRICT;Graves ophthalmopathy, strict;H062&E059;H
E4_GRAVES_STRICT;Graves disease, strict definition;;
E4_HYPERALDO;Hyperaldosteronism;E26;E
E4_HYPERALI;Other hyperalimentation;E6[7-8];E
E4_HYPERALISEQ;Sequelae of hyperalimentation;E68;E
E4_HYPERCHOL;Pure hypercholesterolaemia;E780;E
E4_HYPERCHYLO;Hyperchylomicronaemia;E783;E
E4_HYPERGLYCER;Pure hyperglyceridaemia;E781;E
E4_HYPERKALAEMIA;Hyperkalaemia;E875;E
E4_HYPERLIPMIX;Mixed hyperlipidaemia;E782;E
E4_HYPERLIPNAS;Hyperlipidaemia, other/unspecified;E78[4-5];E
E4_HYPEROSMHNAT;Hyperosmolality and hypernatraemia;E870;E
E4_HYPERPARA;Hyperparathyroidism;E21[0-3];E
E4_HYPERPIT;Hyperfunction of pituitary gland;E22;E
E4_HYPERPITNAS;Hyperfunction of pituitary gland, other and/or unspecified;E229;E
E4_HYPERPRO;Hyperprolactinaemia;E221;E
E4_HYPERPRO_ADVERSE;Hyperprolactinaemia, drug-induced;E221;E
E4_HYPERURI;Hyperuricaemia without signs of inflammatory arthritis and tophaceous disease;E790;E
E4_HYPOCOMA;Nondiabetic hypoglycaemic coma;E15;E
E4_HYPODRUG;Drug-induced hypoglycaemia without coma;E160;E
E4_HYPOKALAEMIA;Hypokalaemia;E876;E
E4_HYPOOSMNAT;Hypo-osmolality and hyponatraemia;E871;E
E4_HYPOPARA;Hypoparathyroidism;E20;E
E4_HYPOPIT;Hypopituitarism;E230;E
E4_HYPOTHALDYSF;Hypothalamic dysfunction, including iatrogenic, not elsewhere classified;E231|E233;E
E4_HYTHY_AI_DX;Hypothyroidism, autoimmune, DX-based;E0380;E
E4_HYTHY_AI_STRICT;Hypothyroidism, strict autoimmune;;
E4_HYTHYPOSTINF;Postinfectious hypothyroidism;E033;E
E4_HYTHYSUBS;Hypothyroidism due to medicaments and other exogenous substances;E032;E
E4_IRON_MET;Disorders of iron metabolism;E831;E
E4_KWASHIORKOR;Kwashiorkor;E40;E
E4_LACTOCON;Congenital lactase deficiency;E730;E
E4_LACTONAS;Lactose intolerance, other/unspecified;E73[8-9];E
E4_LIPODEF;Lipoprotein deficiency;E786;E
E4_LIPODYST;Lipodystrophy, not elsewhere classified;E881;E
E4_LIPOMATOSIS;Lipomatosis, not elsewhere classified;E882;E
E4_LIPOPROT;Disorders of lipoprotein metabolism and other lipidaemias;E78;E
E4_LIPOPROTNAS;Disorder of lipoprotein metabolism, unspecified;E78[8-9];E
E4_LOCALADIP;Localized adiposity;E65;E
E4_MALNUTRITION;Malnutrition;E4;E
E4_MARAKWASH;Marasmic kwashiorkor;E42;E
E4_MARASMUS;Nutritional marasmus;E41;E
E4_METABOLIA;Metabolic disorders;E[7-9];E
E4_METABONAS;Metabolic disorder, other/unspecified;E88[8-9];E
E4_MG_DEF;Magnesium deficiency;E612;E
E4_MG_MET;Disorders of magnesium metabolism;E834;E
E4_MINERAL_MET;Disorders of mineral metabolism;E83;E
E4_MINERAL_METNAS;Disorder of mineral metabolism, other/unspecified;E83[8-9];E
E4_NONTOXIC_THYROID;Nontoxic goitre/thyroid nodule;;
E4_NUTRI_DEF_NAS;Other specified/unspecified nutritional deficiencies;E63[8-9];E
E4_OBESITY;Obesity;E66;E
E4_OBESITYCAL;Obesity due to excess calories;E660;E
E4_OBESITYDRUG;Drug-induced obesity;E661;E
E4_OBESITYNAS;Obesity, other/unspecified;E66[8-9];E
E4_OBESITYXTRMALV;Extreme obesity with alveolar hypoventilation;E662;E
E4_ODANDRO;Ovarian dysfunction: androgen excess;E281;E
E4_OVARDYS;Ovarian dysfunction;E28;E
E4_OVARDYSNAS;Ovarian dysfunction, other/unspecified;E28[8-9];E
E4_OVARFAIL;Primary ovarian failure;E283;E
E4_PANCSECNAS;Disorder of pancreatic internal secretion, other and/or unspecified;E16[8-9];E
E4_PARANAS;Disorders of parathyroid gland, other and/or unspecified;E21[4-5];E
E4_PARATHYRO;Disorders of parathyroid gland;E2[0-1];E
E4_PCOS;Polycystic ovarian syndrome;E282;E
E4_PCOS_BROAD;Polycystic ovarian syndrome, broad definition;;
E4_PCOS_CONCORTIUM;Polycystic ovarian syndrome, consortium definition;N925|N926|L680;N
E4_PHOS_MET;Disorders of phosphorus metabolism and phosphatases;E833;E
E4_PITUDISNAS;Disorders of pituitary gland, other and/or unspecified;E23[6-7];E
E4_PLASMAPROT;Disorders of plasma-protein metabolism, not elsewhere classified;E880;E
E4_PORBILIR;Disorders of porphyrin and bilirubin metabolism;E80;E
E4_PORPHYNAS;Other porphyria;E802;E
E4_PRECOXCENTPUB;Precocious central puberty;E228;E
E4_PREPUB;Precocious puberty;E301;E
E4_PROTMALMODMILD;Protein-energy malnutrition of moderate and mild degree;E44;E
E4_PROTMALNAS;Unspecified protein-energy malnutrition;E46;E
E4_PROTMALSEVERNAS;Unspecified severe protein-energy malnutrition;E43;E
E4_PUBDISNAS;Disorders of puberty, other/unspecified;E30[8-9];E
E4_SEQUMAL;Sequelae of malnutrition and other nutritional deficiencies;E64;E
E4_SPHIGLOLIPNAS;Sphingolipidosis, other/unspecified;E75[2-3];E
E4_SPHINGOLIP;Disorders of sphingolipid metabolism and other lipid storage disorders;E75;E
E4_TESTICDYSNAS;Testicular dysfunction, other/unspecified;E29[8-9];E
E4_TESTICHYPO;Testicular hypofunction;E291;E
E4_THIA_DEF;Thiamine deficiency;E51;E
E4_THYCRISIS;Thyroid crisis or storm;E055;E
E4_THYMUSDIS;Diseases of thymus;E32;E
E4_THYMUSDISNAS;Disease of thymus, other/unspecified;E32[8-9];E
E4_THYROID;Disorders of the thyroid gland;E0;E
E4_THYROIDITACU;Acute thyroiditis;E060;E
E4_THYROIDITAUTOIM;Autoimmune thyroiditis;E063;E
